Timestamp,Current(A),Voltage(V),Pressure(kg),RopeLength(m),EncoderValue,EncoderAngle(deg),MotorSpeed(rpm),MotorPosition,MotorStatus,MotorStatusStr,AlgorithmState,AlgorithmError,EmergencyStop,ClutchCurrent(mA),MotorCmdRpm
1779179604089613,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.105,4,Unknown,0,0,0,0.0,0.000
1779179604089633,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.105,4,Unknown,0,0,0,0.0,0.000
1779179604212645,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.103,4,Unknown,0,0,0,0.0,0.000
1779179604212668,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.103,4,Unknown,0,0,0,0.0,0.000
1779179604338538,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.100,4,Unknown,0,0,0,0.0,0.000
1779179604338553,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.100,4,Unknown,0,0,0,0.0,0.000
1779179604464274,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.098,4,Unknown,0,0,0,0.0,0.000
1779179604464297,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.098,4,Unknown,0,0,0,0.0,0.000
1779179604590288,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.096,4,Unknown,0,0,0,0.0,0.000
1779179604590315,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.096,4,Unknown,0,0,0,0.0,0.000
1779179604717233,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.094,4,Unknown,0,0,0,0.0,0.000
1779179604717257,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.094,4,Unknown,0,0,0,0.0,0.000
1779179604842821,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.092,4,Unknown,0,0,0,0.0,0.000
1779179604842842,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.092,4,Unknown,0,0,0,0.0,0.000
1779179604968446,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.090,4,Unknown,0,0,0,0.0,0.000
1779179604968468,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.090,4,Unknown,0,0,0,0.0,0.000
1779179605093979,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.088,4,Unknown,0,0,0,0.0,0.000
1779179605093999,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.088,4,Unknown,0,0,0,0.0,0.000
1779179605219680,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.086,4,Unknown,0,0,0,0.0,0.000
1779179605219701,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.086,4,Unknown,0,0,0,0.0,0.000
1779179605345376,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.084,4,Unknown,0,0,0,0.0,0.000
1779179605345393,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.084,4,Unknown,0,0,0,0.0,0.000
1779179605471607,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.083,4,Unknown,0,0,0,0.0,0.000
1779179605471626,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.083,4,Unknown,0,0,0,0.0,0.000
1779179605597712,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.081,4,Unknown,0,0,0,0.0,0.000
1779179605597727,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-133.081,4,Unknown,0,0,0,0.0,0.000
1779179605723441,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.079,4,Unknown,0,0,0,0.0,0.000
1779179605723469,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.079,4,Unknown,0,0,0,0.0,0.000
1779179605848716,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.077,4,Unknown,0,0,0,0.0,0.000
1779179605848730,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.077,4,Unknown,0,0,0,0.0,0.000
1779179605974183,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.076,4,Unknown,0,0,0,0.0,0.000
1779179605974202,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.076,4,Unknown,0,0,0,0.0,0.000
1779179606099626,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.074,4,Unknown,0,0,0,0.0,0.000
1779179606099643,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.074,4,Unknown,0,0,0,0.0,0.000
1779179606225405,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.072,4,Unknown,0,0,0,0.0,0.000
1779179606225420,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.072,4,Unknown,0,0,0,0.0,0.000
1779179606350833,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.071,4,Unknown,0,0,0,0.0,0.000
1779179606350856,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.071,4,Unknown,0,0,0,0.0,0.000
1779179606476417,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.069,4,Unknown,0,0,0,0.0,0.000
1779179606476436,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.069,4,Unknown,0,0,0,0.0,0.000
1779179606602008,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.067,4,Unknown,0,0,0,0.0,0.000
1779179606602076,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.067,4,Unknown,0,0,0,0.0,0.000
1779179606727593,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.065,4,Unknown,0,0,0,0.0,0.000
1779179606727610,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.065,4,Unknown,0,0,0,0.0,0.000
1779179606853080,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.064,4,Unknown,0,0,0,0.0,0.000
1779179606853095,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.064,4,Unknown,0,0,0,0.0,0.000
1779179606978353,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.061,4,Unknown,0,0,0,0.0,0.000
1779179606978368,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.061,4,Unknown,0,0,0,0.0,0.000
1779179607103838,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.060,4,Unknown,0,0,0,0.0,0.000
1779179607103857,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.060,4,Unknown,0,0,0,0.0,0.000
1779179607229432,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.057,4,Unknown,0,0,0,0.0,0.000
1779179607229450,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.057,4,Unknown,0,0,0,0.0,0.000
1779179607354906,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.055,4,Unknown,0,0,0,0.0,0.000
1779179607354923,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.055,4,Unknown,0,0,0,0.0,0.000
1779179607480319,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.053,4,Unknown,0,0,0,0.0,0.000
1779179607480333,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.053,4,Unknown,0,0,0,0.0,0.000
1779179607605778,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.049,4,Unknown,0,0,0,0.0,0.000
1779179607605818,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.049,4,Unknown,0,0,0,0.0,0.000
1779179607731637,0.000,0.000,-0.030,0.001,1026,90.176,2.000,-133.045,4,Unknown,0,0,0,0.0,0.000
1779179607731652,0.000,0.000,-0.030,0.001,1026,90.176,2.000,-133.045,4,Unknown,0,0,0,0.0,0.000
1779179607857118,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.043,4,Unknown,0,0,0,0.0,0.000
1779179607857137,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.043,4,Unknown,0,0,0,0.0,0.000
1779179607982837,0.000,0.000,-0.030,0.001,1025,90.088,1.000,-133.041,4,Unknown,0,0,0,0.0,0.000
1779179607982855,0.000,0.000,-0.030,0.001,1025,90.088,1.000,-133.041,4,Unknown,0,0,0,0.0,0.000
1779179608108511,0.000,0.000,-0.030,0.001,1025,90.088,1.000,-133.039,4,Unknown,0,0,0,0.0,0.000
1779179608108526,0.000,0.000,-0.030,0.001,1025,90.088,1.000,-133.039,4,Unknown,0,0,0,0.0,0.000
1779179608233968,0.000,0.000,-0.030,0.001,1025,90.088,1.000,-133.037,4,Unknown,0,0,0,0.0,0.000
1779179608233985,0.000,0.000,-0.030,0.001,1025,90.088,1.000,-133.037,4,Unknown,0,0,0,0.0,0.000
1779179608359593,0.000,0.000,-0.020,0.001,1025,90.088,1.000,-133.036,4,Unknown,0,0,0,0.0,0.000
1779179608359609,0.000,0.000,-0.020,0.001,1025,90.088,1.000,-133.036,4,Unknown,0,0,0,0.0,0.000
1779179608485094,0.000,0.000,-0.020,0.001,1025,90.088,1.000,-133.034,4,Unknown,0,0,0,0.0,0.000
1779179608485111,0.000,0.000,-0.020,0.001,1025,90.088,1.000,-133.034,4,Unknown,0,0,0,0.0,0.000
1779179608611010,0.000,0.000,-0.020,0.001,1025,90.088,1.000,-133.033,4,Unknown,0,0,0,0.0,0.000
1779179608611028,0.000,0.000,-0.020,0.001,1025,90.088,1.000,-133.033,4,Unknown,0,0,0,0.0,0.000
1779179608736395,0.000,0.000,-0.020,0.001,1025,90.088,1.000,-133.031,4,Unknown,0,0,0,0.0,0.000
1779179608736412,0.000,0.000,-0.020,0.001,1025,90.088,1.000,-133.031,4,Unknown,0,0,0,0.0,0.000
1779179608861807,0.000,0.000,-0.020,0.001,1025,90.088,1.000,-133.029,4,Unknown,0,0,0,0.0,0.000
1779179608861824,0.000,0.000,-0.020,0.001,1025,90.088,1.000,-133.029,4,Unknown,0,0,0,0.0,0.000
1779179608987242,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.027,4,Unknown,0,0,0,0.0,0.000
1779179608987260,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.027,4,Unknown,0,0,0,0.0,0.000
1779179609112771,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.025,4,Unknown,0,0,0,0.0,0.000
1779179609112797,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.025,4,Unknown,0,0,0,0.0,0.000
1779179609298431,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.023,4,Unknown,0,0,0,0.0,0.000
1779179609298448,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.023,4,Unknown,0,0,0,0.0,0.000
1779179609420145,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.021,4,Unknown,0,0,0,0.0,0.000
1779179609420164,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.021,4,Unknown,0,0,0,0.0,0.000
1779179609545789,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.019,4,Unknown,0,0,0,0.0,0.000
1779179609545831,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.019,4,Unknown,0,0,0,0.0,0.000
1779179609671479,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.017,4,Unknown,0,0,0,0.0,0.000
1779179609671497,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.017,4,Unknown,0,0,0,0.0,0.000
1779179609796969,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.015,4,Unknown,0,0,0,0.0,0.000
1779179609796992,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.015,4,Unknown,0,0,0,0.0,0.000
1779179609922447,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.013,4,Unknown,0,0,0,0.0,0.000
1779179609922467,0.000,0.000,-0.010,0.001,1026,90.176,1.000,-133.013,4,Unknown,0,0,0,0.0,0.000
1779179610047927,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.010,4,Unknown,0,0,0,0.0,0.000
1779179610047943,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.010,4,Unknown,0,0,0,0.0,0.000
1779179610173243,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.008,4,Unknown,0,0,0,0.0,0.000
1779179610173261,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.008,4,Unknown,0,0,0,0.0,0.000
1779179610298675,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.006,4,Unknown,0,0,0,0.0,0.000
1779179610298693,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-133.006,4,Unknown,0,0,0,0.0,0.000
1779179610424322,0.000,0.000,-0.020,0.001,1026,90.176,2.000,-133.001,4,Unknown,0,0,0,0.0,0.000
1779179610424345,0.000,0.000,-0.020,0.001,1026,90.176,2.000,-133.001,4,Unknown,0,0,0,0.0,0.000
1779179610549969,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.999,4,Unknown,0,0,0,0.0,0.000
1779179610549992,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.999,4,Unknown,0,0,0,0.0,0.000
1779179610675647,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.997,4,Unknown,0,0,0,0.0,0.000
1779179610675663,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.997,4,Unknown,0,0,0,0.0,0.000
1779179610801922,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.995,4,Unknown,0,0,0,0.0,0.000
1779179610801940,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.995,4,Unknown,0,0,0,0.0,0.000
1779179610927378,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.993,4,Unknown,0,0,0,0.0,0.000
1779179610927395,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.993,4,Unknown,0,0,0,0.0,0.000
1779179611053117,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.992,4,Unknown,0,0,0,0.0,0.000
1779179611053138,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.992,4,Unknown,0,0,0,0.0,0.000
1779179611178573,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.990,4,Unknown,0,0,0,0.0,0.000
1779179611178593,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.990,4,Unknown,0,0,0,0.0,0.000
1779179611303995,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.988,4,Unknown,0,0,0,0.0,0.000
1779179611304021,0.000,0.000,-0.030,0.001,1026,90.176,1.000,-132.988,4,Unknown,0,0,0,0.0,0.000
1779179611429450,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.986,4,Unknown,0,0,0,0.0,0.000
1779179611429466,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.986,4,Unknown,0,0,0,0.0,0.000
1779179611555068,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.984,4,Unknown,0,0,0,0.0,0.000
1779179611555092,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.984,4,Unknown,0,0,0,0.0,0.000
1779179611680701,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.982,4,Unknown,0,0,0,0.0,0.000
1779179611680723,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.982,4,Unknown,0,0,0,0.0,0.000
1779179611806124,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.980,4,Unknown,0,0,0,0.0,0.000
1779179611806142,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.980,4,Unknown,0,0,0,0.0,0.000
1779179611931713,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.978,4,Unknown,0,0,0,0.0,0.000
1779179611931728,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.978,4,Unknown,0,0,0,0.0,0.000
1779179612057159,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.976,4,Unknown,0,0,0,0.0,0.000
1779179612057183,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.976,4,Unknown,0,0,0,0.0,0.000
1779179612182788,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.975,4,Unknown,0,0,0,0.0,0.000
1779179612182812,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.975,4,Unknown,0,0,0,0.0,0.000
1779179612308125,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.973,4,Unknown,0,0,0,0.0,0.000
1779179612308142,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.973,4,Unknown,0,0,0,0.0,0.000
1779179612434125,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.971,4,Unknown,0,0,0,0.0,0.000
1779179612434140,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.971,4,Unknown,0,0,0,0.0,0.000
1779179612559742,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.969,4,Unknown,0,0,0,0.0,0.000
1779179612559758,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.969,4,Unknown,0,0,0,0.0,0.000
1779179612685492,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.966,4,Unknown,0,0,0,0.0,0.000
1779179612685513,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.966,4,Unknown,0,0,0,0.0,0.000
1779179612867452,0.000,0.000,-0.020,0.001,1026,90.176,1.000,-132.963,4,Unknown,0,0,0,0.0,0.000
